question,answer
You won't let me leave this room. You won't let me-, (shushing her) Keep your voice down.
Why? You think your father can hear me? (yells) He's three hundred miles away!, I don't intend for you to stay here. I might be able to bring you into the castle kitchens.
Every man who has tasted my cooking has told me what a good whore I am., But you wouldn't be a cook. You'd pose as a scullion.
Scullion? What is a scullion?, (wincing) Kitchen wench.
A kitchen wench?," Yes, but-"
I'm the weakness?," It's a compliment, my lady."
How is being a weakness a compliment?, Language can be a bit tricky here.
"I've encountered this problem before, my lord. The stresses of power often have this insalubrious effect. Two drops with water, daily.", Right. I'm so grateful to have a man of your vast knowledge and wisdom on my side.
"Why, yes, of course, my lord.", These are perilous times. And the crown must forge new alliances. And these alliances must often be sealed in matrimony.
"Matrimony, huh? Yes."," I'm trusting the council with these plans, but the Queen mustn't know. We can't have her meddling in affairs that could determine the future of the realm. There's too much at stake."
"Ooh. ""The Queen mustn't know."" I love conversations that begin this way.", I plan to marry Princess Myrcella off to Theon Greyjoy.
"Theon Greyjoy? Forgive me, my lord, but how? He grew up a ward of Winterfell. He fights for Robb Stark.", Precisely.
Theon's father loathes the Starks and will convince the boy to come to our side. Greyjoy can destroy the Northern army from within and we can have his father's ships.," But remember, you must tell no one."
Tell no one what?, I plan to wed Princess Myrcella to Robin Arryn of the Vale. Lysa is not fond of me. But perhaps the promise of a royal match will convince her to let bygones be bygones.
She imprisoned you. She tried to execute you. And you offer her son a princess?," For men in our position, holding grudges can be an encumbrance, don't you think?"
And I suppose you want me to broker this agreement?, Who better?
"Yes, I could sing this song to Lysa, if I cared to. What's in it for me?"," The gratitude of the people of Westeros for helping to end this war, the adoration of the King for bringing the Vale back into the fold... and Harrenhal."
Harrenhal is cursed.," Never took you for a superstitious man. By all means, tear it down and rebuild. You'll be able to afford it. I plan to make you Lord of the Riverlands."
"With a single stroke, you'd make me one of the greatest lords in the realm.", You served my family well in the matter of the succession.
"So did Janos Slynt, and he was given Harrenhal, too. Until you snatched it away."," I need you to deliver Lysa Arryn. I didn't need Janos Slynt. It's settled, then?"
(nods), Good. Oh. And remember-
(angry and tearful) You monster. Myrcella is my only daughter. Do you really think I'll let you sell her like a common whore?, Myrcella's a princess. Some would say she was born for this.
I will not let you ship her off to Dorne as I was shipped off to Robert Baratheon., Dorne is the safest place for her.
Are you mad? The Martells loathe us., That's why we need to seduce them. We're going to need their support in the war your son started.
She'll be a hostage., A guest.
"You won't get away with this. You think the piece of paper Father gave you keeps you safe. Ned Stark had a piece of paper, too."," It's done, Cersei."
No., You cannot stop it.
No!," Just how safe do you think Myrcella is if this city falls? Do you want to see her raped, butchered like the Targaryen children? Make no mistake. They'll mount her pretty little head on a spike right beside yours."
"I don't appreciate being made a fool of, dwarf. If Myrcella marries the Martell boy, she can't very well marry Robin Arryn, can she?"," No, afraid not. Sorry about that."
"And Harrenhal, I suppose that's off the table as well."," Yes, I fear so. Sorry about that, too."
Leave me out of your next deception.," Oh, that's a shame. You were to be the centerpiece of my next deception. My brother Jaime rots in a Northern stockade. I would see him released. That's where you come in."
Robb Stark will never release the Kingslayer.," No, he won't. But his mother might. How would you like to see your beloved Cat again?"
"Oh, aye. And he has company. Filthy old stoat. Almost hate to interrupt."," No, you don't."
"No, please, please."," You disappoint me, Grand Maester."
I am your loyal servant., So loyal that you told the Queen about my plans to send Myrcella to Dorne.
The eunuch has spies everywhere., Cut off his manhood and feed it to the goats.
"There are no goats, halfman."," Well, make do."
"Oh, Lord Arryn, h-he knew. He, he knew the t-truth about, about, about the Queen. An-And he planned to act, to t-tell King Robert.", So you poisoned him?
(offended) No. Never.," But you let him die, made sure he succumbed."
"Lannister, I always served Lannister.", Get him out of my sight. Throw him in one of the black cells.
You'll be pleased to know our mutual friend is doing quite well in Lady Sansa's service., Good. One of my better ideas.
"Well played, My Lord Hand. But should I be worried? Janos Slynt, Pycelle - The Small Council grows smaller every day.", The Council has a reputation for serving past Hands poorly. I don't mean to follow Ned Stark to the grave.
"Power is a curious thing, my lord. Are you fond of riddles?"," Why, am I about to hear one?"
"Three great men sit in a room. A king, a priest and a rich man. Between them stands a common sellsword. Each great man bids the sellsword kill the other two. Who lives, who dies?", Depends on the sellsword.
Does it? He has neither crown nor gold nor favor with the gods.," He has a sword, the power of life and death."
"But if it's swordsmen who rule, why do we pretend kings hold all the power? When Ned Stark lost his head, who was truly responsible? Joffrey? The executioner? Or something else?", I've decided I don't like riddles.
